CNPJ,FIRM_NAME,CVM_FIRM_TYPE,CVM_CODE,CVM_STATUS
10.324.085/0001-17,AFAL S/A IND E COM PRODS METAL,CIAS INCENTIVADAS REGISTRADAS,508349,Cancelado em 14/02/2012
08.326.274/0001-87,AFASA-AGUA FRIA AGROPEC SA,CIAS INCENTIVADAS REGISTRADAS,505900,Cancelado em 28/09/2008
07.620.094/0001-40,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.,CIAS ABERTAS,020150,Cancelado em 24/11/2017
10.338.320/0001-00,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,CIAS ABERTAS,022179,Concedido em 24/09/2010
10.869.998/0001-19,AGANOR GASES E EQUIPAMENTOS SA,CIAS INCENTIVADAS REGISTRADAS,513466,Cancelado em 05/10/2005
04.212.396/0001-91,AGASUS S.A.,CIAS ABERTAS,027324,Concedido em 03/10/2023
61.573.796/0001-66,AGF BRASIL SEGUROS SA,CIAS ABERTAS,012343,Cancelado em 30/05/2005
33.058.793/0001-59,AGGS INDS GRAFICAS SA,CIAS ABERTAS,000175,Cancelado em 04/05/1987
61.442.752/0001-05,AGIP DISTRIBUIDORA SA,CIAS ABERTAS,003921,Cancelado em 14/01/2000
24.111.809/0001-59,AGIR AGRESTE INDL DE RAFIA SA,CIAS INCENTIVADAS REGISTRADAS,517070,Cancelado em 14/02/2012
07.468.069/0001-93,AGISA AGROPAST E INDL SA,CIAS INCENTIVADAS REGISTRADAS,510580,Cancelado em 28/09/2008
06.722.441/0001-83,AGNORD IND C CONF AGUIA NE SA,CIAS INCENTIVADAS REGISTRADAS,503487,Cancelado em 14/02/2012
07.698.047/0001-10,AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A,CIAS ABERTAS,020664,Cancelado em 28/05/2010
88.610.324/0001-92,AGRALE SA,CIAS ABERTAS,000183,Cancelado em 26/06/2000
11.040.082/0001-14,AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA,CIAS ABERTAS,021911,Cancelado em 19/07/2010
-,AGRENCO LIMITED,CIAS ESTRANGEIRAS,080080,Cancelado em 16/05/2017
63.235.436/0001-80,AGRICOLA BEBEDOURO SA,CIAS INCENTIVADAS REGISTRADAS,515221,Cancelado em 14/02/2012
13.719.224/0001-08,AGRICOLA BEIRA RIO SA,CIAS INCENTIVADAS REGISTRADAS,500720,Cancelado em 21/11/2000
04.335.238/0001-29,AGRICOLA MISTA MARAJOARA SA  - AGRIMAR,CIAS INCENTIVADAS REGISTRADAS,518921,Cancelado em 21/10/2009
15.144.603/0001-34,AGRICOLA NOVO HORIZONTE SA,CIAS INCENTIVADAS REGISTRADAS,512095,Cancelado em 14/02/2012
09.319.567/0001-08,AGRICOLA VALE DO MANGEREBA SA,CIAS INCENTIVADAS REGISTRADAS,507032,Cancelado em 23/12/1993
41.153.636/0001-50,AGRICOLA VALE DO MENDONCA SA,CIAS INCENTIVADAS REGISTRADAS,516554,Cancelado em 28/09/2008
27.751.452/0001-61,AGRÍCOLA VALE VERDE SA,CIAS INCENTIVADAS REGISTRADAS,507407,Cancelado em 14/02/2012
27.751.452/0001-61,AGRÍCOLA VALE VERDE SA,CIAS INCENTIVADAS REGISTRADAS,519871,Cancelado em 16/09/2014
22.974.380/0001-06,AGRICULTURA MECANIZADA S/A,CIAS INCENTIVADAS REGISTRADAS,511005,Cancelado em 24/10/2012
88.070.990/0001-85,AGRILEASING SA ARREND MERC,CIAS ABERTAS,000191,Cancelado em 30/09/1985
04.986.857/0001-83,AGRIMISA AGROPEC IND MIN PA SA,CIAS INCENTIVADAS REGISTRADAS,507008,Cancelado em 28/09/2008
21.356.787/0001-07,"AGRINCO-AGROPEC,IND E COM SA",CIAS INCENTIVADAS REGISTRADAS,510076,Cancelado em 01/02/1991
07.467.822/0001-26,AGRIPEC QUIM E FARMAC,CIAS INCENTIVADAS REGISTRADAS,501808,Cancelado em 12/01/2007
05.763.669/0001-59,AGRO AGRI RONDONIA SA,CIAS INCENTIVADAS REGISTRADAS,503460,Cancelado em 14/02/2012
04.523.403/0001-76,AGRO IND JURUPARI ACRE SA,CIAS INCENTIVADAS REGISTRADAS,504548,Cancelado em 23/09/2004
04.167.904/0001-67,AGRO INDL ITAPIRANGA SA,CIAS INCENTIVADAS REGISTRADAS,517216,Cancelado em 28/09/2008
07.561.855/0001-30,AGRO INDL JAGUARUANA SA,CIAS INCENTIVADAS REGISTRADAS,509949,Cancelado em 14/02/2012
13.642.699/0001-35,AGRO INDÚSTRIAS DO VALE SÃO FRANCISCO S/A,CIAS INCENTIVADAS REGISTRADAS,516147,Concedido em 21/10/1994
34.738.393/0001-57,AGRO MECANIZ AGRI RONDONIA SA,CIAS INCENTIVADAS REGISTRADAS,509264,Cancelado em 14/02/2012
09.273.145/0001-30,AGRO MERCANTIL URTIGAS SA AMUSA,CIAS INCENTIVADAS REGISTRADAS,520357,Cancelado em 30/03/2016
09.242.066/0001-62,AGRO PASTORIL ANGICOS S. A....,CIAS INCENTIVADAS REGISTRADAS,515663,Cancelado em 14/02/2012
09.378.563/0001-92,AGRO PASTORIL CARIRI SA CARIRISA,CIAS ABERTAS,000205,Cancelado em 09/08/2005
05.149.737/0001-94,AGRO UNA AGRICOLA CURUA UNA S/A,CIAS INCENTIVADAS REGISTRADAS,509825,Cancelado em 14/02/2012
05.750.765/0001-62,AGROALEGRE AGROINDUSTRIAL E PASTORIL MONTE ALEGRE SA,CIAS INCENTIVADAS REGISTRADAS,504980,Cancelado em 28/09/2008
07.066.491/0001-12,AGROBALSAS EMPREEND INDS E AGROPEC SA,CIAS INCENTIVADAS REGISTRADAS,519979,Cancelado em 08/01/2015
04.657.227/0001-65,AGROBRAGANTINA SA,CIAS INCENTIVADAS REGISTRADAS,518379,Cancelado em 17/11/2005
24.380.727/0001-00,AGROBRAS AGRIC TROP DO BR SA,CIAS INCENTIVADAS REGISTRADAS,516244,Cancelado em 09/11/2004
04.255.592/0001-43,AGROBUFALO SA,CIAS INCENTIVADAS REGISTRADAS,511773,Cancelado em 14/02/2012
04.255.592/0001-43,AGROBUFALO SA,CIAS INCENTIVADAS REGISTRADAS,520241,Cancelado em 02/02/2016
03.101.169/0001-26,AGROCISA-AGROPEC COM E IND SA,CIAS INCENTIVADAS REGISTRADAS,512613,Cancelado em 14/02/2012
03.101.169/0001-26,AGROCISA-AGROPEC COM E IND SA,CIAS INCENTIVADAS REGISTRADAS,520624,Cancelado em 24/07/2017
32.477.002/0001-62,AGROCUNHA SA,CIAS INCENTIVADAS REGISTRADAS,507806,Cancelado em 14/02/2012
