CNPJ,FIRM_NAME,CVM_FIRM_TYPE,CVM_CODE,CVM_STATUS
34.814.509/0001-90,CIA AGRICOLA DO ACARA,CIAS INCENTIVADAS REGISTRADAS,515760,Cancelado em 07/11/1997
10.593.804/0001-03,CIA AGRICOLA DO JOHA - CAJA,CIAS INCENTIVADAS REGISTRADAS,500577,Cancelado em 09/10/2007
08.736.225/0001-12,CIA AGRICOLA FAZENDA GALICIA,CIAS INCENTIVADAS REGISTRADAS,503444,Cancelado em 14/02/2012
24.083.305/0001-72,CIA AGRICOLA FORTALEZA,CIAS INCENTIVADAS REGISTRADAS,504335,Cancelado em 14/02/2012
05.872.668/0001-42,CIA AGRICOLA INDUSTRIAL PECUARIA ITATIRA,CIAS INCENTIVADAS REGISTRADAS,505358,Cancelado em 14/02/2012
24.404.394/0001-01,CIA AGRICOLA MASSANGANO,CIAS INCENTIVADAS REGISTRADAS,515167,Cancelado em 14/02/2012
20.564.290/0001-03,CIA AGRICOLA SANTO ANTONIO,CIAS INCENTIVADAS REGISTRADAS,502758,Cancelado em 14/02/2012
08.023.384/0001-70,CIA AGRICOLA SERRA D'AGUA,CIAS INCENTIVADAS REGISTRADAS,503860,Cancelado em 08/01/2007
33.882.507/0001-75,CIA AGRICOLA VALE DO RIO UTINGA,CIAS INCENTIVADAS REGISTRADAS,511684,Cancelado em 14/02/2012
10.049.740/0001-76,CIA AGRICOLA VALE DO ZUTIUA - COMAZ,CIAS INCENTIVADAS REGISTRADAS,508624,Cancelado em 28/09/2008
10.049.740/0001-76,CIA AGRICOLA VALE DO ZUTIUA - COMAZ,CIAS INCENTIVADAS REGISTRADAS,521094,Cancelado em 30/12/2021
32.630.733/0001-04,CIA AGRICOLA VOLTA DO RIO,CIAS INCENTIVADAS REGISTRADAS,509906,Cancelado em 14/02/2012
02.194.017/0001-52,CIA AGRO INDL DE GOIAS CAGIGO,CIAS ABERTAS,002674,Cancelado em 04/09/1991
06.276.703/0001-23,CIA AGRO PECUARIA SANTA INES,CIAS ABERTAS,002690,Cancelado em 09/07/1986
06.731.665/0001-51,CIA AGROINDL ALIM NE CANAAN,CIAS INCENTIVADAS REGISTRADAS,503975,Cancelado em 21/08/2008
09.677.477/0001-80,CIA AGROINDL BOI BRANCO,CIAS INCENTIVADAS REGISTRADAS,519880,Cancelado em 22/09/2014
07.344.047/0001-11,CIA AGROINDL DO NE P/ EXP,CIAS INCENTIVADAS REGISTRADAS,504734,Cancelado em 14/02/2012
32.625.782/0001-40,CIA AGROINDL NOVA ESPERANCA,CIAS INCENTIVADAS REGISTRADAS,514438,Cancelado em 24/10/2012
04.786.448/0001-33,CIA AGROINDL PARAENSE INDUPARA,CIAS INCENTIVADAS REGISTRADAS,512265,Cancelado em 25/07/1992
12.779.856/0001-96,CIA AGROINDL PIRAMBEBA,CIAS INCENTIVADAS REGISTRADAS,514578,Cancelado em 28/09/2008
35.493.527/0001-80,CIA AGROINDL SALINAS SALISA.,CIAS INCENTIVADAS REGISTRADAS,515647,Cancelado em 28/09/2008
07.770.019/0001-66,CIA AGROINDL SAO JOSE,CIAS INCENTIVADAS REGISTRADAS,504246,Cancelado em 14/02/2012
03.198.421/0001-67,CIA AGROPAST MATA DA CHUVA,CIAS INCENTIVADAS REGISTRADAS,515337,Cancelado em 24/10/2012
11.727.112/0001-65,CIA AGROPASTORIL BEIRA RIO,CIAS INCENTIVADAS REGISTRADAS,502308,Cancelado em 28/09/2008
07.315.229/0001-64,CIA AGROPASTORIL DIAMANTE,CIAS INCENTIVADAS REGISTRADAS,519138,Cancelado em 29/07/2011
08.715.492/0001-03,CIA AGROPASTORIL DO CERRADO,CIAS INCENTIVADAS REGISTRADAS,508047,Cancelado em 12/09/2008
11.550.977/0001-07,CIA AGROPASTORIL JACARANDA BA,CIAS INCENTIVADAS REGISTRADAS,502960,Cancelado em 14/02/2012
11.486.255/0001-22,CIA AGROPASTORIL VALE PIRAGIBA,CIAS INCENTIVADAS REGISTRADAS,505510,Cancelado em 21/06/2011
04.939.757/0001-04,CIA AGROPEC AGROSAN,CIAS INCENTIVADAS REGISTRADAS,518441,Cancelado em 12/03/2007
04.201.679/0001-38,CIA AGROPEC AMAPA BUFALO CAPAB,CIAS INCENTIVADAS REGISTRADAS,517798,Cancelado em 21/06/2000
04.619.771/0001-12,CIA AGROPEC CONTINENTAL,CIAS INCENTIVADAS REGISTRADAS,504114,Cancelado em 30/09/2015
05.426.846/0001-01,CIA AGROPEC DO JAHU,CIAS INCENTIVADAS REGISTRADAS,519413,Cancelado em 01/06/2017
08.876.310/0001-86,CIA AGROPEC DO TRIANGULO,CIAS INCENTIVADAS REGISTRADAS,520896,Cancelado em 15/01/2019
11.696.036/0001-78,CIA AGROPEC E INDL S.GONCALO,CIAS INCENTIVADAS REGISTRADAS,514519,Cancelado em 12/02/2008
12.632.915/0001-07,CIA AGROPEC MONTEIRO,CIAS INCENTIVADAS REGISTRADAS,512354,Cancelado em 14/02/2012
09.249.087/0001-00,CIA AGROPEC RANCHARIA - CAPRI,CIAS INCENTIVADAS REGISTRADAS,511749,Cancelado em 03/11/2005
10.411.296/0001-97,CIA AGROPEC SAO FRANCISCO,CIAS INCENTIVADAS REGISTRADAS,516899,Cancelado em 28/09/2008
05.096.755/0001-55,CIA AGROPEC SIMEIRA,CIAS INCENTIVADAS REGISTRADAS,500500,Cancelado em 28/09/2008
04.198.198/0001-10,CIA AGROPEC STA IZABEL,CIAS INCENTIVADAS REGISTRADAS,516783,Cancelado em 06/03/1998
14.351.852/0001-38,CIA AGROPEC SUL DA BAHIA,CIAS INCENTIVADAS REGISTRADAS,510459,Cancelado em 03/07/1992
11.672.086/0001-15,CIA AGROPEC VALE DO BOQUEIRAO,CIAS INCENTIVADAS REGISTRADAS,504262,Cancelado em 14/02/2012
08.635.716/0001-77,CIA AGROPEC VALE DO MUQUEM,CIAS INCENTIVADAS REGISTRADAS,504599,Cancelado em 14/02/2012
08.444.655/0001-60,CIA ALAGOAS INDUSTRIAL-CINAL,CIAS INCENTIVADAS REGISTRADAS,508780,Cancelado em 17/12/2010
11.699.378/0001-41,CIA ALCOOLQUIM NACIONAL,CIAS INCENTIVADAS REGISTRADAS,501018,Cancelado em 14/02/2012
07.292.675/0001-09,CIA ALGIMAR INDUSTRIA QUIMICA ALGINATOS,CIAS ABERTAS,002704,Cancelado em 21/03/2006
04.311.536/0001-89,CIA AMAZONENSE AGROINDL,CIAS INCENTIVADAS REGISTRADAS,514411,Cancelado em 28/09/2008
04.306.197/0001-42,CIA AMAZONENSE DE PROD ELETR,CIAS INCENTIVADAS REGISTRADAS,503380,Cancelado em 16/09/1992
04.564.696/0001-30,CIA AMAZONENSE SAPONIFICACAO,CIAS ABERTAS,002712,Cancelado em 20/12/2005
33.615.956/0001-57,CIA AMERICA FABRIL,CIAS ABERTAS,002747,Cancelado em 21/09/2004
33.074.691/0001-27,CIA AMERICA SUL CFI,CIAS ABERTAS,002739,Cancelado em 19/05/1989
22.672.596/0001-09,CIA ATIV RURAIS DO NE - CARNE,CIAS INCENTIVADAS REGISTRADAS,508632,Cancelado em 16/10/2000
33.490.095/0001-28,CIA AUXILIAR EMP MIN CAEMI,CIAS ABERTAS,002780,Cancelado em 06/05/1991
06.769.897/0001-07,CIA AVIC DA AM SA - CEAA,CIAS INCENTIVADAS REGISTRADAS,504211,Cancelado em 16/03/2011
08.179.954/0001-15,CIA AVIC STA INES - COASI,CIAS INCENTIVADAS REGISTRADAS,501190,Cancelado em 14/02/2012
41.102.492/0001-03,CIA AVICOLA DO NE CIANE,CIAS INCENTIVADAS REGISTRADAS,515965,Cancelado em 09/12/2003
40.999.856/0001-37,CIA AVICOLA MASSANGANA CIAMA,CIAS INCENTIVADAS REGISTRADAS,516970,Cancelado em 06/04/2005
09.940.024/0001-03,CIA BAHIANA DE CARNES - COBAC.,CIAS INCENTIVADAS REGISTRADAS,515272,Cancelado em 14/02/2012
58.128.174/0001-14,CIA BANDEIRANTES ARMS GERAIS,CIAS ABERTAS,002810,Cancelado em 20/05/2011
17.167.362/0001-74,CIA BANDEIRANTES CFI,CIAS ABERTAS,002801,Cancelado em 21/07/1997
42.584.128/0001-90,CIA BANGU DESENVOLVIMENTO PARTICIPAÇÕES,CIAS ABERTAS,002828,Cancelado em 20/12/2005
06.784.524/0001-05,CIA BOA VISTA DE ALIMENTOS DO NE,CIAS INCENTIVADAS REGISTRADAS,519731,Cancelado em 03/01/2014
42.113.662/0001-18,CIA BOZANO SIMONSEN COM IND,CIAS ABERTAS,002836,Cancelado em 22/04/1992
04.787.677/0001-72,CIA BRAS AGROPASTORIL,CIAS INCENTIVADAS REGISTRADAS,502260,Cancelado em 20/09/1996
07.817.893/0001-01,CIA BRAS COMPON DE CALCADOS,CIAS INCENTIVADAS REGISTRADAS,505790,Cancelado em 14/02/2012
02.455.483/0001-44,CIA BRAS DE AGROPEC - COBRAPE,CIAS INCENTIVADAS REGISTRADAS,512389,Cancelado em 05/07/2016
05.099.585/0001-62,CIA BRAS DE ASFALTO AMAZONIA,CIAS INCENTIVADAS REGISTRADAS,503541,Cancelado em 14/02/2012
05.099.585/0001-62,CIA BRAS DE ASFALTO AMAZONIA,CIAS INCENTIVADAS REGISTRADAS,520527,Cancelado em 21/12/2016
10.483.444/0001-89,CIA BRAS DE LATICINIOS,CIAS INCENTIVADAS REGISTRADAS,507512,Cancelado em 14/02/2012
13.029.194/0001-08,CIA BRAS DE POLIURETANO,CIAS INCENTIVADAS REGISTRADAS,500046,Cancelado em 14/02/2012
11.413.150/0001-43,CIA BRAS DE TORRES,CIAS INCENTIVADAS REGISTRADAS,500259,Cancelado em 28/09/2008
33.316.100/0001-80,CIA BRAS MATERIAIS COBRACO,CIAS ABERTAS,002852,Cancelado em 29/05/1987
61.079.315/0001-60,CIA BRAS PLASTICOS MONSANTO,CIAS ABERTAS,002879,Cancelado em 16/10/1985
61.156.410/0001-10,CIA BRAS PROJETOS OBRAS CBPO,CIAS ABERTAS,002887,Cancelado em 14/01/1993
07.203.144/0001-94,CIA BRASILEIRA DE ESTRUTURAS METALICAS,CIAS ABERTAS,002844,Cancelado em 13/11/2007
06.298.962/0001-55,CIA CACHUCHA PASTORIL,CIAS INCENTIVADAS REGISTRADAS,509299,Cancelado em 14/02/2012
78.588.415/0001-15,CIA CACIQUE CAFE SOLUVEL,CIAS ABERTAS,002909,Cancelado em 23/03/2015
82.508.433/0001-17,CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN,CIAS ABERTAS,016861,Concedido em 06/02/1998
07.275.779/0001-05,CIA CEARA TEXTIL,CIAS INCENTIVADAS REGISTRADAS,500291,Cancelado em 28/01/2000
07.360.506/0001-50,CIA CEARENSE AGROINDL DO CAJU,CIAS INCENTIVADAS REGISTRADAS,501980,Cancelado em 14/02/2012
07.205.719/0001-08,CIA CEARENSE DE CIMEN PORTLAND,CIAS INCENTIVADAS REGISTRADAS,516848,Cancelado em 29/12/2000
33.366.980/0001-08,CIA CERVEJARIA BRAHMA,CIAS ABERTAS,002917,Cancelado em 08/11/2000
03.468.832/0001-25,CIA CERVEJARIA CUIABANA,CIAS ABERTAS,002925,Cancelado em 24/10/1997
09.934.407/0001-60,CIA CIMENTO ATOL,CIAS ABERTAS,002976,Cancelado em 27/11/1995
60.869.302/0001-22,CIA CIMENTO IPANEMA,CIAS ABERTAS,002992,Cancelado em 06/02/1991
89.724.017/0001-03,CIA CIMENTO PORTL GAUCHO,CIAS ABERTAS,003000,Cancelado em 12/04/1993
33.160.318/0001-99,CIA CIMENTO PORTL PARAISO,CIAS ABERTAS,003018,Cancelado em 31/03/1997
15.218.084/0001-01,CIA CIMENTO SALVADOR,CIAS ABERTAS,003026,Cancelado em 24/06/1988
61.422.663/0001-99,CIA COMERCIAL BORBA CAMPO,CIAS ABERTAS,002941,Cancelado em 22/11/2006
82.636.887/0001-73,CIA COML SCHRADER,CIAS ABERTAS,002950,Cancelado em 28/09/2000
33.034.901/0001-53,CIA CONSTRUTORA PEDERNEIRAS,CIAS ABERTAS,012491,Cancelado em 21/03/2006
04.872.883/0001-80,CIA CRIADORA DE PEIXES IRACEMA,CIAS INCENTIVADAS REGISTRADAS,514632,Cancelado em 14/02/2012
04.872.883/0001-80,CIA CRIADORA DE PEIXES IRACEMA,CIAS INCENTIVADAS REGISTRADAS,520616,Cancelado em 23/06/2017
09.123.654/0001-87,CIA DE AGUA E ESGOTO DA PARAIBA,CIAS ABERTAS,019968,Cancelado em 24/06/2011
12.542.007/0001-14,CIA DE ALIM DO MARANHÃO - COMASA,CIAS INCENTIVADAS REGISTRADAS,510904,Cancelado em 23/07/2002
04.374.427/0001-00,CIA DE CITRUS DO PARA,CIAS INCENTIVADAS REGISTRADAS,505129,Cancelado em 28/09/2008
11.494.564/0001-44,CIA DE COCOS DO NE - CCN,CIAS INCENTIVADAS REGISTRADAS,500593,Cancelado em 28/09/2008
04.731.519/0001-09,CIA DE DES DO NORTE,CIAS INCENTIVADAS REGISTRADAS,507954,Cancelado em 14/02/2012
04.731.519/0001-09,CIA DE DES DO NORTE,CIAS INCENTIVADAS REGISTRADAS,519405,Cancelado em 31/10/2012
04.050.829/0001-50,CIA DE DES NOVA OLINDA,CIAS INCENTIVADAS REGISTRADAS,510475,Cancelado em 14/02/2012
15.139.629/0001-94,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,CIAS ABERTAS,014524,Concedido em 28/07/1994
09.795.659/0001-56,CIA DE LUBRIF DO NE - LUBRINOR,CIAS INCENTIVADAS REGISTRADAS,514900,Cancelado em 14/02/2012
05.635.644/0001-70,CIA DE MECANIZACAO DA AM - CMA,CIAS INCENTIVADAS REGISTRADAS,515590,Cancelado em 28/09/2008
06.258.024/0001-21,CIA DE NAVEGACAO DO NORTE CONAN,CIAS INCENTIVADAS REGISTRADAS,518115,Cancelado em 20/03/2008
09.053.620/0001-63,CIA DE OLEOS VEG DO BRASIL,CIAS INCENTIVADAS REGISTRADAS,503932,Cancelado em 30/09/1999
01.938.783/0001-11,CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA,CIAS ABERTAS,018708,Concedido em 26/07/2000
04.652.792/0001-30,CIA DE RECUPERAÇÃO SECUNDÁRIA,CIAS ABERTAS,019240,Cancelado em 28/06/2012
12.536.082/0001-72,CIA DE SACOS DO MARANHAO,CIAS INCENTIVADAS REGISTRADAS,510637,Cancelado em 14/02/2012
03.631.397/0001-08,CIA DES ARAGUAIA CODEARA,CIAS ABERTAS,012025,Cancelado em 18/05/1992
05.770.003/0001-28,CIA DESENVOLVIMENTO AGRO PECUARIA INDUSTRIAL MIN EST PA,CIAS ABERTAS,003034,Cancelado em 09/08/2005
24.551.772/0001-80,CIA DO RIO PRETO AQUI COM E EX,CIAS INCENTIVADAS REGISTRADAS,515434,Cancelado em 14/02/2012
84.208.123/0001-02,CIA DOCAS DE IMBITUBA,CIAS ABERTAS,003174,Cancelado em 28/11/2017
07.047.251/0001-70,CIA ENERG CEARA - COELCE,CIAS ABERTAS,014869,Concedido em 13/06/1995
17.155.730/0001-64,CIA ENERG MINAS GERAIS - CEMIG,CIAS ABERTAS,002453,Concedido em 30/06/1971
10.835.932/0001-08,CIA ENERGÉTICA DE PERNAMBUCO - CELPE,CIAS ABERTAS,014362,Concedido em 29/04/1994
08.324.196/0001-81,CIA ENERGÉTICA DO RIO GRANDE DO NORTE,CIAS ABERTAS,018139,Concedido em 04/01/1999
02.201.268/0001-17,CIA ENERGETICA MERIDIONAL,CIAS ABERTAS,016900,Cancelado em 28/03/2008
04.821.435/0001-58,CIA EQUATORIAL DE MINERACAO,CIAS INCENTIVADAS REGISTRADAS,507180,Cancelado em 28/09/2008
33.352.394/0001-04,CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,CIAS ABERTAS,016373,Concedido em 28/07/1997
08.467.115/0001-00,CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA,CIAS ABERTAS,020648,Concedido em 17/04/2007
92.715.812/0001-31,CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA,CIAS ABERTAS,003204,Concedido em 07/01/1970
10.783.777/0001-23,CIA FABRICA YOLANDA,CIAS ABERTAS,003220,Cancelado em 09/08/2005
16.718.231/0001-75,CIA FABRIL MASCARENHAS,CIAS ABERTAS,003239,Cancelado em 26/04/2006
18.977.124/0001-97,CIA FERRO BRASILEIRO,CIAS ABERTAS,003247,Cancelado em 26/12/1991
33.495.615/0001-95,CIA FERRO E ACO DE VITORIA,CIAS INCENTIVADAS REGISTRADAS,506567,Cancelado em 14/02/2012
15.141.799/0001-03,CIA FERRO LIGAS BAHIA FERBASA,CIAS ABERTAS,003069,Concedido em 28/02/1961
16.933.590/0001-45,CIA FERROLIGAS MG - MINASLIGA,CIAS INCENTIVADAS REGISTRADAS,506516,Cancelado em 28/08/2006
23.116.551/0001-10,CIA FIAÇÃO TECELAGEM PARA MINAS,CIAS ABERTAS,003255,Cancelado em 04/01/2010
21.796.032/0001-15,CIA FIACAO TECIDOS CEDRONORTE,CIAS INCENTIVADAS REGISTRADAS,500860,Cancelado em 03/01/1991
08.479.123/0001-69,CIA FRIGORIFICO POTENGY,CIAS INCENTIVADAS REGISTRADAS,505650,Cancelado em 14/02/2012
92.659.325/0001-07,CIA GERAL DE INDUSTRIAS,CIAS ABERTAS,003280,Cancelado em 18/03/2008
12.506.192/0001-91,CIA GRAFICA DO NE,CIAS INCENTIVADAS REGISTRADAS,507318,Cancelado em 14/02/2012
82.639.139/0001-44,CIA HERING,CIAS ABERTAS,003301,Cancelado em 30/04/1999
78.876.950/0001-71,CIA HERING,CIAS ABERTAS,014761,Cancelado em 23/02/2022
33.541.368/0001-16,CIA HIDRO ELÉTRICA DO SÃO FRANCISCO,CIAS ABERTAS,003328,Concedido em 19/12/1969
13.369.475/0001-00,CIA HOTEIS TURISTICOS - COMTUR,CIAS INCENTIVADAS REGISTRADAS,506702,Cancelado em 14/02/2012
33.433.822/0001-15,CIA INDL AGRIC SANTA CECILIA,CIAS ABERTAS,003433,Cancelado em 29/11/2001
08.666.091/0001-00,CIA INDL ALIMENTOS DO NORDESTE CIAN,CIAS INCENTIVADAS REGISTRADAS,518476,Cancelado em 22/08/2006
04.384.319/0001-19,CIA INDL AMAZONENSE,CIAS ABERTAS,003379,Cancelado em 10/07/1998
13.004.304/0001-79,CIA INDL DE CELULOSE E PAPEL,CIAS INCENTIVADAS REGISTRADAS,512133,Cancelado em 14/02/2012
04.061.693/0001-83,CIA INDL DE LATIC DO ACRE,CIAS INCENTIVADAS REGISTRADAS,502600,Cancelado em 24/10/2012
07.584.279/0001-47,CIA INDL DE LATICINIOS DO CARIRI - CILCA,CIAS INCENTIVADAS REGISTRADAS,510769,Cancelado em 14/02/2012
07.584.279/0001-47,CIA INDL DE LATICINIOS DO CARIRI - CILCA,CIAS INCENTIVADAS REGISTRADAS,520411,Cancelado em 01/07/2016
04.387.734/0001-26,CIA INDL DE MADEIRAS CIM,CIAS INCENTIVADAS REGISTRADAS,512192,Cancelado em 14/02/2012
07.199.490/0001-46,CIA INDL DE OLEOS DO NE,CIAS INCENTIVADAS REGISTRADAS,505331,Cancelado em 14/02/2012
12.924.130/0001-08,CIA INDL DE REVESTIM CERAMICOS,CIAS INCENTIVADAS REGISTRADAS,510246,Cancelado em 05/06/2000
05.379.664/0001-27,CIA INDL DE VIDROS DO CEARA,CIAS INCENTIVADAS REGISTRADAS,503150,Cancelado em 31/12/1996
16.805.251/0001-83,CIA INDL ITAUNENSE DO NE,CIAS INCENTIVADAS REGISTRADAS,503312,Cancelado em 24/02/1992
14.031.868/0001-63,CIA INDL LATICINIOS PARA-CILPA,CIAS INCENTIVADAS REGISTRADAS,512591,Cancelado em 14/02/2012
61.074.506/0001-30,CIA INDL MERC ARTEF FERRO,CIAS ABERTAS,003468,Cancelado em 09/09/1999
56.969.355/0001-48,CIA INDL MERC PAOLETTI,CIAS ABERTAS,003441,Cancelado em 14/02/1992
07.285.448/0001-48,CIA INDL MICHELETTO,CIAS ABERTAS,003476,Cancelado em 09/05/1988
10.775.112/0001-78,CIA INDL MOVEIS PATENTE FAIXA AZUL,CIAS INCENTIVADAS REGISTRADAS,518794,Cancelado em 07/08/2008
92.779.438/0001-38,CIA INDL RIO GUAHYBA,CIAS ABERTAS,003514,Cancelado em 12/07/1993
33.174.145/0001-68,CIA INDL SAO PAULO RIO CISPER,CIAS ABERTAS,003530,Cancelado em 03/05/1988
07.785.306/0001-40,CIA INDUSTRIAL AGROPECUARIA CONAPE,CIAS ABERTAS,003360,Cancelado em 01/11/2005
17.161.316/0001-68,CIA INDUSTRIAL BELO HORIZONTE,CIAS ABERTAS,003387,Cancelado em 09/08/2005
07.998.164/0001-07,CIA INDUSTRIAL BRASILEIRA ALIMENTOS,CIAS ABERTAS,013811,Cancelado em 22/03/2005
07.998.164/0001-07,CIA INDUSTRIAL BRASILEIRA ALIMENTOS,CIAS INCENTIVADAS REGISTRADAS,502880,Cancelado em 26/04/1991
33.041.120/0001-96,CIA INDUSTRIAL DOX,CIAS ABERTAS,003344,Cancelado em 07/08/1997
07.197.411/0001-68,CIA INDUSTRIAL PELES COUROS,CIAS ABERTAS,003425,Cancelado em 22/03/2005
19.711.282/0001-63,CIA INDUSTRIAL SANTA MATILDE,CIAS ABERTAS,003522,Cancelado em 04/01/2010
82.981.929/0001-03,CIA INDUSTRIAL SCHLOSSER S.A.,CIAS ABERTAS,003549,Concedido em 28/06/1985
06.721.286/0001-80,CIA INTEGR DE MIN CALCINAC PI,CIAS INCENTIVADAS REGISTRADAS,507210,Cancelado em 14/02/2012
01.222.069/0001-22,CIA INTER-ATLANTICO PARTICIPS,CIAS ABERTAS,015792,Cancelado em 03/03/1997
42.584.060/0001-49,CIA INTERNACIONAL FIDUCIARIA,CIAS ABERTAS,003557,Cancelado em 12/05/1989
04.904.199/0001-33,CIA INVEST DO PARA,CIAS ABERTAS,003093,Cancelado em 10/11/1986
00.189.469/0001-10,CIA INVESTS LATINOAMERICANA,CIAS ABERTAS,014745,Cancelado em 13/01/2003
92.753.367/0001-02,CIA IOCHPE,CIAS ABERTAS,003573,Cancelado em 03/08/1993
69.923.613/0001-05,CIA JOFRA AGRICOLA,CIAS INCENTIVADAS REGISTRADAS,517062,Cancelado em 14/02/2012
60.434.487/0001-42,CIA LECO DE PRODS ALIMENTICIOS,CIAS ABERTAS,003603,Cancelado em 20/02/2009
78.597.697/0001-17,CIA LONDRIMALHAS HERINGER INDUSTRIA E COMERCIO,CIAS ABERTAS,012947,Cancelado em 07/08/2007
04.971.941/0001-23,CIA MADEIREIRA SAO MIGUEL,CIAS ABERTAS,003620,Cancelado em 09/08/2005
09.016.361/0001-09,CIA MARANHENSE DE PROD AGROPEC,CIAS INCENTIVADAS REGISTRADAS,501948,Cancelado em 14/02/2012
09.016.361/0001-09,CIA MARANHENSE DE PROD AGROPEC,CIAS INCENTIVADAS REGISTRADAS,519545,Cancelado em 20/03/2013
12.112.330/0001-58,CIA MARANHENSE DE ROUPAS COMAR,CIAS INCENTIVADAS REGISTRADAS,515841,Cancelado em 23/07/2002
06.272.199/0001-93,CIA MARANHENSE REFRIGERANTES,CIAS ABERTAS,003638,Cancelado em 19/05/2010
06.996.185/0001-12,CIA MATOS NOVOS VALE ITAPECURU,CIAS INCENTIVADAS REGISTRADAS,512184,Cancelado em 14/02/2012
22.664.890/0001-79,CIA MATS SULFUROSOS MATSULFUR,CIAS ABERTAS,003646,Cancelado em 30/11/2002
28.415.164/0001-07,CIA METALURGICA DO ES,CIAS INCENTIVADAS REGISTRADAS,510548,Cancelado em 14/02/2012
12.536.553/0001-42,CIA METALURGICA DO MA,CIAS INCENTIVADAS REGISTRADAS,509639,Cancelado em 14/02/2012
91.154.690/0001-99,CIA MINUANO DE ALIMENTOS,CIAS ABERTAS,012246,Cancelado em 13/08/1991
24.069.916/0001-66,CIA N SRA DAS MASCARENHAS,CIAS INCENTIVADAS REGISTRADAS,510947,Cancelado em 14/02/2012
71.039.119/0001-16,CIA NAC FRIGORIFICOS CONFRIO,CIAS ABERTAS,003735,Cancelado em 14/04/1989
33.098.112/0001-86,CIA NACIONAL DE ALCALIS,CIAS ABERTAS,015555,Cancelado em 04/01/2010
71.444.582/0001-43,CIA NACIONAL ESTAMPARIA CIANE,CIAS ABERTAS,003727,Cancelado em 04/01/2010
33.630.120/0001-21,CIA NAVEGACAO LLOYD BRASILEIRO,CIAS ABERTAS,003760,Cancelado em 24/10/1997
61.150.348/0001-50,CIA NITROQUIMICA BRASILEIRA,CIAS ABERTAS,003778,Cancelado em 03/08/1990
10.913.796/0001-27,CIA NORDESTINA DE ALIMENTOS - CANORTE,CIAS INCENTIVADAS REGISTRADAS,508616,Cancelado em 14/02/2012
11.008.083/0001-81,CIA NORDESTINA DE PRODS AVIC,CIAS INCENTIVADAS REGISTRADAS,507580,Cancelado em 14/02/2012
08.334.187/0001-71,CIA NORDESTINA DE SUINOCULTURA,CIAS INCENTIVADAS REGISTRADAS,508110,Cancelado em 14/02/2012
06.133.003/0001-80,CIA PAJEU DO MARANHAO-PAJEU,CIAS INCENTIVADAS REGISTRADAS,506052,Cancelado em 03/07/2010
10.804.300/0001-87,CIA PARAIBA CIM PORTL CIMEPAR,CIAS ABERTAS,003786,Cancelado em 27/11/1995
12.680.542/0001-31,CIA PARAIBANA DE RAFIA,CIAS INCENTIVADAS REGISTRADAS,510440,Cancelado em 14/02/2012
01.596.401/0001-19,CIA PAULISTA DE ADM DE ATIVOS,CIAS ABERTAS,016683,Cancelado em 04/11/1999
57.484.495/0001-99,CIA PAULISTA DE LAMINACAO,CIAS ABERTAS,003832,Cancelado em 27/04/1988
61.015.582/0001-74,CIA PAULISTA ENERGIA ELETRICA,CIAS ABERTAS,003794,Cancelado em 16/03/2001
61.087.912/0001-37,CIA PAULISTA FERTILIZANTES,CIAS ABERTAS,003816,Cancelado em 09/01/2007
09.928.771/0001-18,CIA PERNAMB DE BORR SINTETICA,CIAS INCENTIVADAS REGISTRADAS,501956,Cancelado em 24/06/1996
09.768.292/0001-81,CIA PERNAMBUCANA DE HOTEIS E TURISMO,CIAS INCENTIVADAS REGISTRADAS,518875,Cancelado em 24/04/2009
00.091.652/0001-89,CIA PESQS RECURSOS MINERAIS,CIAS ABERTAS,003107,Cancelado em 24/07/1997
07.621.931/0001-56,CIA PESQUEIRA SAO RAIMUNDO,CIAS INCENTIVADAS REGISTRADAS,506931,Cancelado em 10/09/2007
02.854.397/0001-04,CIA PETROLIFERA MARLIM,CIAS ABERTAS,018899,Cancelado em 17/08/2009
06.731.046/0001-67,CIA PIAUIENSE AGROINDL,CIAS INCENTIVADAS REGISTRADAS,503509,Cancelado em 14/02/2012
04.172.213/0001-51,CIA PIRATININGA DE FORÇA E LUZ,CIAS ABERTAS,019275,Concedido em 18/04/2002
15.213.374/0001-62,CIA PNEUS TROPICAL,CIAS ABERTAS,003867,Cancelado em 25/09/1991
39.826.482/0001-79,CIA PORTUARIA VILA VELHA,CIAS INCENTIVADAS REGISTRADAS,517518,Cancelado em 24/10/2012
10.648.749/0001-01,CIA PRODS AGROPECUARIOS-COPA,CIAS INCENTIVADAS REGISTRADAS,519057,Cancelado em 14/01/2011
07.648.637/0001-38,CIA PRODUTORA DE ALGODÃO E SUINOS - COPAS,CIAS INCENTIVADAS REGISTRADAS,508411,Cancelado em 14/02/2012
11.675.808/0001-95,CIA PRODUTORA DE SUINOS,CIAS INCENTIVADAS REGISTRADAS,500780,Cancelado em 14/02/2012
58.143.967/0001-02,CIA PRODUTORES ARMS GERAIS,CIAS ABERTAS,002631,Cancelado em 15/04/1994
