Nome;Classe;Código;CNPJ;Nome;Tipo de Ativo;ISIN;Setor Econômico|Bovespa;Subsetor Bovespa;Segmento Bovespa
Agrogalaxy;ON;AGXY3;21240146000184;Agrogalaxy;Ação;BRAGXYACNOR4;Consumo não cíclico;Agropecuária;Agricultura
Águas de Santa Teresina Saneameno Spe S/A;ON;25615 ON;27157474000106;Águas de Santa Teresina Saneameno Spe S/A;Ação;-;-;-;-
Aguas do Rio 1 Spe SA;ON;26735 ON;42310775000103;Aguas do Rio 1 Spe SA;Ação;-;-;-;-
Aguas do Rio 1 Spe SA;PN;26735 PN;42310775000103;Aguas do Rio 1 Spe SA;Ação;-;-;-;-
Aguas do Rio 4 Spe SA;ON;26743 ON;42644220000106;Aguas do Rio 4 Spe SA;Ação;-;-;-;-
Aguas do Rio 4 Spe SA;PN;26743 PN;42644220000106;Aguas do Rio 4 Spe SA;Ação;-;-;-;-
Aguas Guariroba SA;ON;23442 ON;4089570000150;Aguas Guariroba SA;Ação;-;-;-;-
Albarus;ON;ALBA3;92758085000190;Albarus;Ação;-;-;-;-
Alfa Consorc;ON;BRGE3;17193806000146;Alfa Consorc;Ação;BRBRGEACNOR6;Financeiro;Previdência e seguros;Seguradoras
Alfa Consorc;PNA;BRGE5;17193806000146;Alfa Consorc;Ação;BRBRGEACNPA9;Financeiro;Previdência e seguros;Seguradoras
Alfa Consorc;PNB;BRGE6;17193806000146;Alfa Consorc;Ação;BRBRGEACNPB7;Financeiro;Previdência e seguros;Seguradoras
Alfa Consorc;PNC;BRGE7;17193806000146;Alfa Consorc;Ação;BRBRGEACNPC5;Financeiro;Previdência e seguros;Seguradoras
Alfa Consorc;PND;BRGE8;17193806000146;Alfa Consorc;Ação;BRBRGEACNPD3;Financeiro;Previdência e seguros;Seguradoras
Alfa Consorc;PNE;BRGE11;17193806000146;Alfa Consorc;Ação;BRBRGEACNPE1;Financeiro;Previdência e seguros;Seguradoras
Alfa Consorc;PNF;BRGE12;17193806000146;Alfa Consorc;Ação;BRBRGEACNPF8;Financeiro;Previdência e seguros;Seguradoras
Alfa Financ;ON;CRIV3;17167412000113;Alfa Financ;Ação;BRCRIVACNOR4;Financeiro;Intermediários financeiros;Soc. crédito e financiamento
Alfa Financ;PN;CRIV4;17167412000113;Alfa Financ;Ação;BRCRIVACNPR1;Financeiro;Intermediários financeiros;Soc. crédito e financiamento
Alfa Holding;ON;RPAD3;17167396000169;Alfa Holding;Ação;BRRPADACNOR1;Financeiro;Intermediários financeiros;Bancos
Alfa Holding;PNA;RPAD5;17167396000169;Alfa Holding;Ação;BRRPADACNPA4;Financeiro;Intermediários financeiros;Bancos
Alfa Holding;PNB;RPAD6;17167396000169;Alfa Holding;Ação;BRRPADACNPB2;Financeiro;Intermediários financeiros;Bancos
Alfa Invest;ON;BRIV3;60770336000165;Alfa Invest;Ação;BRBRIVACNOR6;Financeiro;Intermediários financeiros;Bancos
Alfa Invest;PN;BRIV4;60770336000165;Alfa Invest;Ação;BRBRIVACNPR3;Financeiro;Intermediários financeiros;Bancos
Algar Telecom S/A;ON;21032 ON;71208516000174;Algar Telecom S/A;Ação;-;-;-;-
Algar Telecom S/A;PN;21032 PN;71208516000174;Algar Telecom S/A;Ação;-;-;-;-
Aliansce;ON;ALSC3;6082980000103;Aliansce;Ação;BRALSCACNOR0;Financeiro;Exploração de imóveis;Exploração de imóveis
Alianscsonae;ON;ALSO3;5878397000132;Alianscsonae;Ação;BRALSOACNOR5;Financeiro;Exploração de imóveis;Exploração de imóveis
Aliperti;ON;APTI3;61156931000178;Aliperti;Ação;BRAPTIACNOR6;Consumo não cíclico;Agropecuária;Agricultura
